geoName,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,Exo DO,Luhan,Chanyeol,Exo Kai,Xiumin,Exo Lay,Exo Baekhyun
Tajikistan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanzania,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,58,22,7,7,6,12.89,35.44,40.28,14.5,14.5,8.16,9.97
Timor-Leste,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tokelau,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tonga,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad & Tobago,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,56,11,14,11,8,6.22,53.93,62.22,29.04,19.7,13.48,14.52
Turkmenistan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turks & Caicos Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuvalu,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. Outlying Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. Virgin Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,53,16,11,11,9,12.23,42.81,69.31,26.5,20.0,13.0,14.0
United Kingdom,51,17,12,9,11,19.62,41.19,52.96,31.38,22.0,15.0,12.0
United States,50,17,13,9,11,15.38,46.15,51.92,28.85,23.0,14.0,13.0
Uruguay,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vanuatu,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vatican City,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela,77,11,12,0,0,0.0,54.35,74.74,20.38,31.86,14.6,9.29
Vietnam,60,13,8,7,12,5.62,60.0,52.5,9.38,15.74,9.84,12.79
Wallis & Futuna,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Sahara,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yemen,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Åland Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
